S. No,Team,Raider,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Match-11,Match-12,Match-13,Match-14,Match-15,Match-16,Match-17,Match-18,Match-19,Match-20,Match-21,Match-22,Match-23,Match-24,Match-25,Total
1,Haryana Steelers,Vinay,4,10,4,8,10,9,7,1,6,10,3,12,11,4,9,10,4,7,9,3,6,6,6,6,_,165
2,Dabang Delhi,Ashu Malik,10,4,15,12,13,10,11,10,12,17,14,11,9,11,5,10,13,9,15,16,12,14,9,_,_,262
3,UP Yoddhas,Bhavani Rajput,7,2,4,9,3,1,1,0,11,10,10,10,3,8,5,10,6,8,7,11,10,_,11,5,_,152
4,Patna Pirates,Devank,6,25,7,12,11,15,11,6,7,15,16,18,15,17,13,13,14,12,11,14,12,10,8,8,5,301
5,U Mumba,Ajit Ramesh Chouhan,10,3,2,14,9,1,19,8,17,8,10,0,7,6,12,3,14,10,5,15,1,6,5,_,_,185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
