Match No.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Bengaluru Bulls,L,L,L,L,W,L,W,L,L,L,L,L,L,L,L,D,L,L,L,L,L,L,_,_,_
Gujurat Giants,W,L,L,L,L,L,L,L,W,L,D,W,W,L,D,L,W,L,L,L,D,L,_,_,_
Bengal Warriors,L,W,D,D,W,L,W,L,L,L,L,L,L,L,W,L,W,D,L,L,L,L,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
