Match No.,Venue,Team,Opponent,Team Points,Opponent Points,Winning Team,Losing Team,Tie Match,Point Difference,Team Raid Points,Team Defense Points,Team Extra Points,Opponent Team Raid Points,Opponent Team Defense Points,Opponent Team Extra Points,Team MVP, Team MVP Points,Opponent Team MVP,Opponent Team MVP Points,
1,Hyderabad,Haryana Steelers,Puneri Paltan,25,35,Puneri Paltan,Haryana Steelers,No,10,17,8,0,15,13,7,Shivam Patare,5,Gaurav Khatri,7,
2,Hyderabad,Haryana Steelers,Jaipur Pink Panthers,37,25,Haryana Steelers,Jaipur Pink Panthers,No,12,17,10,10,18,6,1,Vinay,10,Abhijeet Malik,7,
3,Hyderabad,Haryana Steelers,Dabang Delhi,41,34,Haryana Steelers,Dabang Delhi,No,7,22,16,3,25,6,3,Mohammadreza Shadloui Chiyaneh,10,Ashu Malik,13,
4,Hyderabad,Haryana Steelers,UP Yoddhas,30,28,Haryana Steelers,UP Yoddhas,No,2,14,13,3,17,10,1,Vinay,8,Gagan Gowda,9,
5,Hyderabad,Haryana Steelers,Bengal Warriors,38,40,Bengal Warriors,Haryana Steelers,No,2,25,11,2,19,11,10,Vinay,10,Maninder Singh,12,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
